product_url,priority_keyword,page_impressions,page_clicks,page_ctr_pct,page_avg_position,kw_impressions,kw_clicks,kw_avg_position,meta_title,meta_description,h1,recommended_action,data_status
https://ledsone.co.uk/products/ip68-waterproof-junction-box-case-for-electrical-cable-wire-connector-5599,No GSC data,0,0,,,"","","",Missing,Missing,Missing,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/rose-gold-lamp-shade-cap-for-pendant-light-socket-holder-fitting,rose gold lamp shade,93,0,0.00,13.1,51,0,14.0,Rose Gold Lamp Shade Cap for Pendant Light Socket Holder Fitting,Missing,Rose Gold Lamp Shade Cap for Pendant Light Socket Holder Fitting~1030,Do not optimize,GSC data available
https://ledsone.co.uk/products/40cm-black-metal-dome-pendant-light,large black dome pendant light,22,0,0.00,22.6,4,0,8.8,Modern Large Black Metal Dome Pendant Light,"Raise the Dimensions in the area! with use this Modern Black Metal Dome Pendant. Ideal for living spaces and bedrooms.",Modern Large Ceiling Black Metal Dome Pendant Light ~1845,Do not optimize,GSC data available
https://ledsone.co.uk/products/modern-vintage-pendant-light-fitting-retro-industrial-style-e27-lamp-holder,copper bulb holder,45,1,2.22,9.6,24,1,10.3,E27 Copper shiny Vintage Retro Industrial Style Lamp Holder,Free UK Shipping On Order Over £20 This Brass Socket is a great addition to any style space with an exposed vintage bulb.,Lamp Bulb Holder For E27 Lamp Base~2496,Rewrite meta tags + re-optimize keywords,GSC data available
https://ledsone.co.uk/products/pendant-light-fitting-ceiling-rose-e27-suspension-set-fabric-corded-rose-gold,rose gold light fitting,142,0,0.00,12.9,89,0,9.7,E27 Rose Gold Pendant Light Fitting with Ceiling Rose,Rose gold E27 pendant light fitting with ceiling rose and 90cm fabric cable. Vintage suspension set ideal for kitchens dining rooms and DIY lighting.,E27 Rose Gold Pendant Light Fitting Ceiling Rose Fabric Cable~2383,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/tiffany-style-ceiling-pendant-hanging-mediterranean-style-lamp-light-decorative-home-4541,mediterranean lamp shades,11,0,0.00,10.6,7,0,3.7,Tiffany Style Stained Glass Lampshades only,Find Stained Glass Tiffany Style Lampshades! Shop Lamps & Lampshades at our Ledsone.co.uk Enjoy Free shipping Over £20 in UK.,Tiffany style Pendant Hanging Mediterranean Style Decorative Light Shade~4541,Do not optimize,GSC data available
https://ledsone.co.uk/products/brushed-silver-metal-industrial-hanging-pendant-lighting-adjustable-hanging-barn-light,industrial pendant lighting uk,62,0,0.00,23.4,16,0,37.6,Brushed Silver Metal Industrial Pendant Hanging Barn Light~1432,Features: Vintage country style pendant light. Metal lamp holder retro vintage look pendant lamp shades.,Brushed Silver Metal Industrial Hanging Pendant Lighting Adjustable Hanging Barn Light~1432,Do not optimize,GSC data available
https://ledsone.co.uk/products/ledsone-industrial-vintage-32cm-orange-pendant-retro-metal-lamp-shade-e27-uk-holder,No GSC data,0,0,,,"","","",Missing,Missing,Missing,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/lamp-shade-spring-clip-retainer-for-lamp-part-shades-5963,lamp shade spring clip,21,0,0.00,14.3,6,0,5.5,Missing,Missing,Lamp Shade Spring Clip Retainer for Lamp Part Shades~5963,Do not optimize,GSC data available
https://ledsone.co.uk/products/french-gold-pendant-lights-gold-ceiling-lights-metal-industrial-light-shade,gold metal ceiling light,10,0,0.00,15.3,4,0,14.0,French Gold Pendant Lights Gold Ceiling Lights Metal Industrial Light Shade,Missing,French Gold Pendant Lights Gold Ceiling Lights Metal Industrial Light Shade~1519,Do not optimize,GSC data available
https://ledsone.co.uk/products/e27-g95-40w-dimmable-antique-globe-industrial-retro-bulb,g95 globe,143,0,0.00,21.0,67,0,19.4,G95 Bulb E27 – 40W Dimmable Vintage Globe Light 95mm UK,G95 E27 bulb with 95mm globe size. Dimmable vintage light bulb perfect for decorative lighting.,Edison Style E27 G95 Bulb 4W Dimmable Screw Vintage Globe Decorative Bulb~1531,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/dc12v-60w-ip20-mini-universal-regulated-switching-led-transformer,No GSC data,0,0,,,"","","",12V 60W LED Transformer Switching Power Supply 5A,12V 60W LED transformer with 5A output for LED strip lights.,12V 60W LED Transformer 5A Switching Power Supply AC to DC~3332,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/industrial-vintage-style-wall-or-ceiling-light-b22-bar-conduits-light,b22 ceiling light,19,0,0.00,10.7,12,0,14.0,Ceiling Light Bar,Transform your space with a ceiling light bar.,Vintage Style B22 Single Conduit Ceiling Light – Industrial Retro Lighting Fitting~1555,Do not optimize,GSC data available
https://ledsone.co.uk/products/3-light-bulb-guard-cage-cluster-pendant-lights,cage pendant light edison bulb uk buy,670,0,0.00,8.3,536,0,7.1,Cage Pendant light fixture | 3 cluster pendant Lights Uk,Discover our cage pendant light fixture cluster of three lights perfect for Stair case Over Dining table living Room.,Stylish Light Bulb Cages & Cluster Ceiling Lights ~ 5168,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/conduit-pipe-table-lamp-with-dimmer-switch-industrial-steampunk-light-5651,lamp with dimmer,451,0,0.00,14.8,134,0,14.3,Industrial Steampunk Dimmable Lamp,Vintage Conduit Pipe Table Lamp with dimmer switch for adjustable brightness. Perfect for lofts kitchens and living rooms.,Conduit Pipe Table Lamp Kit with Dimmer Switch Steampunk Light -5651,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/28w-compact-led-driver-ac-230v-to-dc12v-power-supply-transformer,240v to 12v led driver,38,0,0.00,19.3,11,0,7.4,28W 2Amp DC 12V LED Driver Adapter Power Supply Transformer,Explore our website for compact LED drivers and constant voltage power supply transformers.,28W 2Amp Compact LED Driver AC 230V to DC12V Power Supply Transformer~1001,Do not optimize,GSC data available
https://ledsone.co.uk/products/3-light-ceiling-pendant-light-with-pulley-system,light pulley system,32,0,0.00,7.1,14,0,3.3,Missing,Missing,Ceiling Light Pulley System – 3 Light Industrial Pendant Chandelier ~5952,Do not optimize,GSC data available
