Product URL,GSC Priority Keyword,Impressions,Avg Position,Clicks,Meta Title,Meta Description,H1,Recommended Action,Data Status
https://ledsone.co.uk/products/ip68-waterproof-junction-box-case-for-electrical-cable-wire-connecto…,No GSC data,0,N/A,0,Missing,Missing,Missing,Data validation required,URL not resolved — truncated in source
https://ledsone.co.uk/products/rose-gold-lamp-shade-cap-for-pendant-light-socket-holder-fitting,rose gold lamp shade,100,19.9,0,Rose Gold Lamp Shade Cap for Pendant Light Socket Holder Fitting,Missing,Rose Gold Lamp Shade Cap for Pendant Light Socket Holder Fitting~1030,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/40cm-black-metal-dome-pendant-light,black metal dome pendant light,7,8.7,1,Modern Large Black Metal Dome Pendant Light,Raise the Dimensions in the area!,Modern Large Ceiling Black Metal Dome Pendant Light ~1845,Rewrite meta tags + re-optimize keywords,GSC data available
https://ledsone.co.uk/products/modern-vintage-pendant-light-fitting-retro-industrial-style-e27-lamp-holder,copper bulb holder,61,8.1,1,E27 Copper shiny Vintage Retro Industrial Style Lamp Holder,Free UK Shipping On Order Over 20...,Lamp Bulb Holder For E27 Lamp Base~2496,Rewrite meta tags + re-optimize keywords,GSC data available
https://ledsone.co.uk/products/pendant-light-fitting-ceiling-rose-e27-suspension-set-fabric-corded-black,black rose light fitting,32,6.9,0,Pendant Light Holder Ceiling Rose E27 Suspension Black,Free Uk Shipping on order over 20...,Pendant Light Fitting Ceiling Rose E27 Suspension Black~2380,Do not optimize,GSC data available
https://ledsone.co.uk/products/tiffany-style-ceiling-pendant-hanging-mediterranean-style-lamp-light-decorative-home,tiffany style pendant light shades,9,12.8,0,Tiffany Glass Ceiling Pendant Hanging Light Lampshades,Shop our exclusive range of Turkish style Tiffany ceiling lights...,Tiffany style Lampshade Ceiling Pendant Hanging Light shade ~5546,Do not optimize,GSC data available
https://ledsone.co.uk/products/brushed-silver-metal-industrial-hanging-pendant-lighting-adjustable-hanging-barn-light,silver metal pendant light,34,13.0,0,Brushed Silver Metal Industrial Hanging Pendant Lighting Adjustable Hanging Barn Light,Missing,Vintage Big Barn Pendant Light Industrial Brushed Silver E27~1952,Do not optimize,GSC data available
https://ledsone.co.uk/products/ledsone-industrial-vintage-32cm-orange-pendant-retro-metal-lamp-shad…,No GSC data,0,N/A,0,Missing,Missing,Missing,Data validation required,URL not resolved — no orange variant found in database
https://ledsone.co.uk/products/lamp-shade-spring-clip-retainer-for-lamp-part-shades-5963,lamp shade spring clip retainer,22,7.7,1,Missing,Missing,Lamp Shade Spring Clip Retainer for Lamp Part Shades~5963,Rewrite meta tags + re-optimize keywords,GSC data available
https://ledsone.co.uk/products/french-gold-pendant-lights-gold-ceiling-lights-metal-industrial-light-shade,gold metal ceiling light,7,13.4,0,French Gold Pendant Lights Gold Ceiling Lights Metal Industrial Light Shade,Missing,French Gold Pendant Lights Gold Ceiling Lights Metal Industrial Light Shade~1519,Do not optimize,GSC data available
